id;cp;lat;lon;nom;origin;exp
90033;90100;47.50694;6.99806;Delle;fr;0
90034;90160;47.65889;6.91722;Denney;fr;0
90035;90400;47.58778;6.83861;Dorans;fr;0
90036;90150;47.67028;6.93472;Eguenigue;fr;0
90037;90300;47.69056;6.87361;Éloie;fr;0
90039;90850;47.63194;6.81639;Essert;fr;0
90041;90170;47.71889;6.92167;Étueffont;fr;0
90042;90350;47.67500;6.79833;Évette-Salbert;fr;0
90043;90100;47.52222;7.03583;Faverois;fr;0
90044;90110;47.70694;6.97528;Felon;fr;0
90045;90100;47.50528;6.95167;Fêche-l'Église;fr;0
90046;90100;47.51083;7.06806;Florimont;fr;0
90047;90150;47.65944;6.99889;Fontaine;fr;0
90048;90340;47.62167;6.95639;Fontenelle;fr;0
90049;90150;47.63417;7.00583;Foussemagne;fr;0
90050;90150;47.64667;6.98667;Frais;fr;0
90051;90140;47.56500;6.94750;Froidefontaine;fr;0
90052;90200;47.74222;6.82556;Giromagny;fr;0
90053;90600;47.53889;6.97306;Grandvillars;fr;0
90054;90200;47.72222;6.88389;Grosmagny;fr;0
90055;90100;47.57472;6.99917;Grosne;fr;0
90056;90100;47.52889;7.00139;Joncherey;fr;0
90057;90300;47.70472;6.82111;Lachapelle-sous-Chaux;fr;0
90058;90360;47.71222;7.01583;Lachapelle-sous-Rougemont;fr;0
90059;90150;47.66389;6.96000;Lacollonge;fr;0
90060;90150;47.68056;6.97917;Lagrange;fr;0
90061;90170;47.76111;6.91333;Lamadeleine-Val-des-Anges;fr;0
90062;90150;47.67639;6.99778;Larivière;fr;0
90063;90100;47.48694;6.97694;Lebetain;fr;0
90064;90100;47.54000;7.09944;Lepuix-Neuf;fr;0
90065;90200;47.76056;6.81389;Lepuix;fr;0
90066;90110;47.72889;6.98167;Leval;fr;0
90067;90150;47.67056;6.94389;Menoncourt;fr;0
90068;90400;47.59556;6.90000;Meroux-Moval;fr;0
90069;90120;47.53111;6.91972;Méziré;fr;0
90070;90500;47.47278;6.91917;Montbouton;fr;0
90071;90130;47.61028;7.00111;Montreux-Château;fr;0
90072;90120;47.54694;6.93333;Morvillars;fr;0
90074;90340;47.60694;6.97056;Novillard;fr;0
90075;90300;47.66333;6.87750;Offemont;fr;0
90076;90160;47.63694;6.89056;Pérouse;fr;0
90077;90130;47.61361;6.97278;Petit-Croix;fr;0
90078;90360;47.72139;7.00778;Petitefontaine;fr;0
90079;90170;47.72139;6.89833;Petitmagny;fr;0
90080;90150;47.66028;6.93444;Phaffans;fr;0
90081;90370;47.50833;7.11306;Réchésy;fr;0
90082;90140;47.59500;6.95944;Autrechêne;fr;0
90083;90140;47.57417;6.98111;Recouvrance;fr;0
90084;90150;47.66167;7.02611;Reppe;fr;0
90085;90200;47.76528;6.88111;Riervescemont;fr;0
90086;90110;47.71833;6.96833;Romagny-sous-Rougemont;fr;0
90087;90380;47.67056;6.91944;Roppe;fr;0
90088;90200;47.73222;6.85111;Rougegoutte;fr;0
90089;90110;47.73556;6.96722;Rougemont-le-Château;fr;0
90090;90100;47.47083;6.96111;Saint-Dizier-l'Évêque;fr;0
90091;90110;47.69611;6.95861;Saint-Germain-le-Châtelet;fr;0
90093;90300;47.69222;6.83583;Sermamagny;fr;0
90094;90400;47.58611;6.86583;Sevenans;fr;0
90095;90100;47.56361;7.08139;Suarce;fr;0
90096;90100;47.52333;6.99028;Thiancourt;fr;0
90097;90400;47.57083;6.86194;Trévenans;fr;0
90098;90800;47.60806;6.80917;Urcerey;fr;0
90099;90300;47.66722;6.84194;Valdoie;fr;0
90100;90150;47.68500;7.03250;Vauthiermont;fr;0
90101;90100;47.57250;7.01389;Vellescot;fr;0
